method,variant,k,mean_pairwise_ari
MiniBatchKMeans,standard,2,0.3479
MiniBatchKMeans,standard,3,0.3066
MiniBatchKMeans,standard,4,0.4201
MiniBatchKMeans,standard,5,0.3945
MiniBatchKMeans,standard,6,0.4352
MiniBatchKMeans,standard,7,0.426
MiniBatchKMeans,standard,8,0.4506
iKMeans,standard,4,1.0
MiniBatchKMeans,robust,2,0.7248
MiniBatchKMeans,robust,3,0.5122
MiniBatchKMeans,robust,4,0.6944
MiniBatchKMeans,robust,5,0.6354
MiniBatchKMeans,robust,6,0.5179
MiniBatchKMeans,robust,7,0.5298
MiniBatchKMeans,robust,8,0.4857
iKMeans,robust,8,1.0
