method,variant,k,sil_mean,sil_std,ch_mean,ch_std,db_mean,db_std
MiniBatchKMeans,robust,2,0.2607,0.0499,30285.6084,3663.7549,1.5602,0.2687
MiniBatchKMeans,robust,3,0.1472,0.0077,24750.6449,1292.6523,1.9935,0.1244
MiniBatchKMeans,robust,4,0.1564,0.0094,22427.2153,951.9926,1.8093,0.1017
MiniBatchKMeans,robust,5,0.163,0.0126,21383.028,621.7802,1.7238,0.0979
MiniBatchKMeans,robust,6,0.1502,0.0194,19875.2337,1091.9261,1.7756,0.1619
MiniBatchKMeans,robust,7,0.1361,0.0117,18021.3402,1212.8475,1.8546,0.0999
MiniBatchKMeans,robust,8,0.1314,0.009,17667.8158,831.1855,1.8399,0.1077
MiniBatchKMeans,standard,2,0.1303,0.0082,15973.3128,1287.8161,2.5045,0.1094
MiniBatchKMeans,standard,3,0.1563,0.0228,21485.693,4288.4414,1.9584,0.1689
MiniBatchKMeans,standard,4,0.1642,0.0058,22156.0191,522.4685,1.7661,0.0284
MiniBatchKMeans,standard,5,0.1616,0.0128,20495.0055,887.414,1.7028,0.0622
MiniBatchKMeans,standard,6,0.1712,0.0106,20228.3127,700.9531,1.5886,0.036
MiniBatchKMeans,standard,7,0.1654,0.0121,19398.275,973.7561,1.5602,0.1113
MiniBatchKMeans,standard,8,0.1704,0.0045,18798.6094,558.2304,1.5367,0.048
iKMeans,robust,2,0.903,0.0201,2233.7262,0.0,0.3754,0.0
iKMeans,standard,7,0.1798,0.0022,20805.2299,0.0,1.4493,0.0
